,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
283,MARKA.IS,-0.26518007405027655,-1.005362455072535,-0.7401823810222585,24.993981467280175,0.20010319245734154,24.230465666929756,41.48047103876534,-12933271.0,45.142757201675266,-3623553.8492538966,31.709170243918724,-111.90845831339456,-10.000002481103913,-0.2808663817733327,4.277134001982385,56.54452232221561,55.333333333333336,55.35,-1.6000000000000014
284,MARTI.IS,-0.015326705421470445,-0.019650583182685963,-0.004323877761215517,16.692071454966026,0.19466583564216888,7.17488789237669,33.234919315172846,-64890934.0,37.742801656601586,-490706647.7013938,20.33479079624056,-102.20222524280229,-9.698995348764518,-0.1137001971251863,0.09141729702666297,2.7243712342535025,2.690000057220459,2.7,0.746268656716409
285,MAVI.IS,0.026114804575026657,-0.06120828665203215,-0.08732309122705881,9.319471731235973,0.32572377392612706,5.607082630691402,34.733889906720215,69602678.0,44.973530583466996,-109389708.39735906,26.858513058242057,-85.81477658240969,-2.747416091870085,-0.13132564721508472,1.1390449587755818,32.619969048799895,32.686665852864586,32.92,1.3546798029556717
286,MEDTR.IS,0.10595675873250031,0.08769181162587225,-0.018264947106628057,27.19423602822078,0.2201581155595461,12.355555555555561,59.765463435741864,11905966.0,31.2487639595297,10934063.979149232,35.14399748735292,-91.37378835616101,-2.108435984498082,-0.1712558731773285,1.8670737289039414,33.22223174692893,32.393333435058594,32.5,-1.2158054711246202
287,MEGAP.IS,0.017061699375235943,-0.0091842748240893,-0.026245974199325242,14.809832426061332,0.4509797860190928,9.204545454545453,38.996846714192806,-337504790.0,49.89187212485608,-234376836.84876168,13.335609443809304,-0.728089456968397,-1.3422805905036121,-0.033781253710429636,0.13248426308092764,2.9204158144596866,2.9633332888285318,2.94,-4.854368932038833
288,MEGMT.IS,-0.15245574250742544,-0.3639060015224332,-0.21145025901500775,18.714563397376512,0.22976140566378225,18.09701492537313,43.63563623227183,90094253.0,43.604971727066605,-263130290.7058474,12.839107841857459,-93.58990421531311,-12.348819705108847,-0.12370518910312757,1.39182184717703,27.74695782342257,27.46666653951009,27.54,-0.21739130434783593
289,MEKAG.IS,-0.47928744105874693,-0.07538790974602394,0.403899531312723,30.855550200735006,0.40911199094824413,20.963172804532586,24.6211387409139,-629864.0,46.94010588580028,-26590984.55083416,21.692072563708138,-3.905392132398708,0.6887034609794401,-0.3869892880698411,2.801397784051118,46.26665315763462,45.100001017252595,43.86,-7.076271186440685
290,MEPET.IS,-0.0260723486961076,-0.02742969561987739,-0.0013573469237697896,11.502393583128478,0.1622657812945343,13.003095975232212,21.101447278776014,-10144264.0,40.94550881479837,-22134021.249334067,9.602155858923528,-104.9887040549789,-7.9185497418822255,0.01228364934643103,0.34928823921174595,8.254594416937529,8.15666675567627,8.14,-1.5719467956469058
291,MERCN.IS,-0.659827852233931,-1.136173394433191,-0.47634554219926006,50.02627654172646,-0.10457217567374721,37.847533632286975,31.532252703835326,75930559.0,33.2951703303809,-110299340.75614524,29.69030917327605,-195.15814602272192,-32.35294320718509,-0.20866027498299905,1.6678000435597942,17.211480594310025,15.483332951863607,14.95,-9.667673716012093
292,MERIT.IS,-0.02570448716235975,-0.025730571111841294,-2.6083949481546e-05,10.092280163231289,0.09140345742578773,9.99337930980527,19.702089272149497,76042290.0,36.604968509631675,-98703165.32784076,26.479137003933353,-132.81247097195853,-5.203254743075878,-0.07624581926211745,0.44533715464661316,11.746714034863949,11.620000203450521,11.66,0.6039689387403069
293,MERKO.IS,0.050172116100238195,0.35801875247026593,0.30784663637002774,43.130550337131254,0.8051656104906565,227.41935483870952,72.8828486442448,98711077.0,61.560118105658844,-134727273.73612127,26.731901193329605,91.86914883786778,23.24561574733766,-0.34551549070900467,1.1888877256759658,16.966196981936875,17.053333282470703,16.86,2.1818181818181737
294,METRO.IS,-0.002599137379648904,0.008776946599922952,0.011376083979571856,5.8335088343383115,0.0987672136384017,25.00000000000001,37.98262078959172,335806705.0,37.35180454191995,-278700640.8350933,23.647966252893866,-124.99994360321234,0.0,-0.07071629372027965,0.07807456264342448,2.4369473217950635,2.4200000762939453,2.42,0.4149377593360981
295,METUR.IS,-0.17940836141892388,0.06339963867513232,0.2428080000940562,41.510251620101094,0.5229983199728915,182.39202657807294,66.30476510285652,177119901.0,49.550475945328905,1350911.3978391187,24.627116453143753,15.946675483723398,13.750007450580691,-0.043241346304010754,1.0288656848203241,18.192495155527915,17.553333282470703,17.29,-3.9977790116601963
296,MGROS.IS,0.9930818111679454,3.4240079364061557,2.4309261252382104,7.730515073538936,0.5715970127892582,81.65548098434004,46.73837341176293,25267239.0,46.897178383674145,-4229376.407803202,27.59358540596734,-10.709828079076294,1.5072765072765073,-0.0568356639810799,17.845840203155237,486.04817444219066,485.0833333333333,488.25,1.7187499999999911
297,MHRGY.IS,-0.044011110893180785,-0.0320236562540368,0.011987454639143979,19.37951286070651,0.3847342223038179,116.86746987951804,34.875736374690725,29842967.0,49.23362120976586,-248047612.88863584,16.268355558157378,-35.12638242312984,1.8789176055248604,-0.1304402204431947,0.25226487624373106,4.951389472818278,4.90666659673055,4.88,0.2053388090349051
